c,n_verticesO,n_edgesO,n_edgesE,maxDegO,maxDegE,avrgDegO,avrgDegE,minDegO,minDegE,diameterO,diameterE,isRegularO,isRegularE,numTriangleO,numTriangleE,isConnectedO,isConnectedE,isPlanarO,isPlanarE
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
2,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1
3,1,0,3,0,2,0,2,0,2,0,1,1,1,0,1,1,1,1,1
4,1,0,6,0,3,0,3,0,3,0,1,1,1,0,4,1,1,1,1
1,2,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,1,1
2,2,0,6,0,3,0,3,0,3,-1,1,1,1,0,4,0,1,1,1
3,2,0,36,0,8,0,8,0,8,-1,1,1,1,0,84,0,1,1,0
4,2,0,120,0,15,0,15,0,15,-1,1,1,1,0,560,0,1,1,0
1,2,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1
2,2,1,1,1,1,1,0.5,1,0,1,-1,1,0,0,0,1,0,1,1
3,2,1,15,1,4,1,3.33333333333333,1,3,1,2,1,0,0,1,1,1,1,0
4,2,1,66,1,9,1,8.25,1,8,1,2,1,0,0,72,1,1,1,0
1,3,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,1,1,1
2,3,0,28,0,7,0,7,0,7,-1,1,1,1,0,56,0,1,1,0
3,3,0,351,0,26,0,26,0,26,-1,1,1,1,0,2925,0,1,1,0
4,3,0,2016,0,63,0,63,0,63,-1,1,1,1,0,41664,0,1,1,0
1,3,1,0,1,0,0.666666666666667,0,0,0,-1,0,0,1,0,0,0,1,1,1
2,3,1,6,1,2,0.666666666666667,1.5,0,1,-1,-1,0,0,0,0,0,0,1,1
3,3,1,153,1,12,0.666666666666667,11.3333333333333,0,11,-1,2,0,0,0,195,0,1,1,0
4,3,1,1128,1,36,0.666666666666667,35.25,0,35,-1,2,0,0,0,6960,0,1,1,0
1,3,2,0,2,0,1.33333333333333,0,1,0,2,0,0,1,0,0,1,1,1,1
2,3,2,1,2,1,1.33333333333333,0.25,1,0,2,-1,0,0,0,0,1,0,1,1
3,3,2,66,2,8,1.33333333333333,4.88888888888889,1,3,2,3,0,0,0,13,1,1,1,0
